"Date","Price","Open","High","Low","Vol.","Change %"
"08/25/2023","207.10","209.75","209.75","206.36","20.98K","-0.46%"
"08/24/2023","208.05","208.64","210.44","207.86","122.79K","-0.28%"
"08/23/2023","208.64","209.70","209.70","207.71","3.93K","0.43%"
"08/22/2023","207.75","208.20","208.89","207.50","4.91K","-0.22%"
"08/21/2023","208.20","207.62","209.68","207.48","24.39K","0.28%"
"08/18/2023","207.62","208.41","208.41","206.71","59.16K","-0.38%"
"08/17/2023","208.41","209.10","209.10","207.80","23.58K","-0.33%"
"08/16/2023","209.10","208.00","209.32","207.50","19.40K","0.15%"
"08/14/2023","208.79","208.32","209.04","206.71","22.35K","-0.05%"
"08/11/2023","208.89","211.35","211.35","208.67","15.22K","-0.51%"
"08/10/2023","209.97","211.75","211.75","208.66","13.13K","-0.05%"
"08/09/2023","210.08","210.00","211.79","208.36","22.22K","0.10%"
"08/08/2023","209.86","210.42","210.50","209.22","5.25K","-0.02%"
"08/07/2023","209.90","209.58","210.48","208.98","17.21K","0.15%"
"08/04/2023","209.58","209.89","209.89","208.10","19.14K","0.71%"
"08/03/2023","208.11","211.45","211.45","207.40","47.86K","-0.76%"
"08/02/2023","209.71","212.90","212.90","209.13","52.09K","-0.72%"
"08/01/2023","211.24","211.11","212.99","210.88","28.52K","0.04%"
"07/31/2023","211.16","212.25","212.25","208.33","10.67K","0.39%"
"07/28/2023","210.34","210.59","210.61","209.42","21.68K","-0.04%"
"07/27/2023","210.42","211.51","213.45","210.10","16.58K","-0.52%"
"07/26/2023","211.51","210.25","212.00","210.25","67.19K","0.60%"
"07/25/2023","210.24","212.00","212.06","209.88","12.79K","-0.16%"
"07/24/2023","210.57","218.25","218.25","209.51","500.37K","-0.63%"
"07/21/2023","211.90","212.59","212.85","211.00","26.01K","-0.32%"
"07/20/2023","212.59","213.75","213.75","210.25","22.19K","0.32%"
"07/19/2023","211.92","211.01","212.30","211.01","38.49K","0.27%"
"07/18/2023","211.34","210.40","212.30","210.40","47.28K","0.32%"
"07/17/2023","210.66","210.00","211.90","209.01","45.28K","0.74%"
"07/14/2023","209.12","207.40","209.55","207.40","33.93K","0.67%"
"07/13/2023","207.72","208.65","209.44","207.25","28.86K","0.05%"
"07/12/2023","207.62","208.77","208.79","207.42","21.98K","-0.19%"
"07/11/2023","208.01","211.23","211.23","206.55","53.06K","0.44%"
"07/10/2023","207.09","207.99","207.99","206.01","51.93K","0.24%"
"07/07/2023","206.59","208.38","208.99","206.42","750.47K","-0.86%"
"07/06/2023","208.39","207.52","208.59","207.18","25.61K","0.61%"
"07/05/2023","207.13","207.11","208.20","206.90","66.61K","0.01%"
"07/04/2023","207.11","206.64","208.14","206.28","36.84K","0.34%"
"07/03/2023","206.41","207.80","211.25","205.09","51.01K","0.64%"
"06/30/2023","205.09","202.44","205.25","202.44","89.70K","1.31%"
"06/28/2023","202.44","201.17","203.09","201.15","33.42K","0.63%"
"06/27/2023","201.17","200.00","201.30","200.00","22.74K","0.58%"
"06/26/2023","200.00","199.94","201.75","199.67","9.99K","0.03%"
"06/23/2023","199.94","201.16","201.16","199.70","8.92K","-0.45%"
"06/22/2023","200.85","202.20","202.20","200.77","21.87K","-0.36%"
"06/21/2023","201.58","201.90","202.12","201.14","13.63K","0.01%"
"06/20/2023","201.56","200.45","201.73","199.58","27.31K","0.51%"
"06/19/2023","200.54","201.18","202.00","200.11","30.34K","-0.32%"
"06/16/2023","201.18","199.99","201.74","199.99","36.03K","0.65%"
"06/15/2023","199.89","200.37","201.00","199.69","15.69K","-0.23%"
"06/14/2023","200.36","200.02","201.50","199.76","12.99K","0.17%"
"06/13/2023","200.02","199.32","200.10","199.32","33.54K","0.61%"
"06/12/2023","198.81","200.89","200.89","198.40","15.78K","0.14%"
"06/09/2023","198.53","199.20","200.99","198.31","19.47K","-0.36%"
"06/08/2023","199.25","200.72","201.02","199.00","538.15K","-0.52%"
"06/07/2023","200.30","198.80","200.46","198.80","269.06K","0.76%"
"06/06/2023","198.79","199.30","199.30","198.08","12.74K","0.04%"
"06/05/2023","198.71","199.14","199.40","198.51","26.86K","0.37%"
"06/02/2023","197.98","198.89","198.89","197.42","12.50K","0.34%"
"06/01/2023","197.30","199.02","199.02","197.13","14.24K","-0.51%"
"05/31/2023","198.31","198.96","198.96","197.62","18.27K","-0.35%"
"05/30/2023","199.00","199.14","199.15","198.14","15.77K","0.31%"
"05/29/2023","198.38","197.76","199.00","197.76","41.33K","0.46%"
"05/26/2023","197.48","196.24","197.58","195.87","61.71K","1.00%"
"05/25/2023","195.52","195.38","196.76","194.41","7.95K","0.07%"
"05/24/2023","195.38","195.72","196.40","195.00","12.52K","-0.36%"
"05/23/2023","196.09","196.75","196.75","195.69","32.68K","0.32%"
"05/22/2023","195.47","196.25","196.25","193.00","14.73K","0.50%"
"05/19/2023","194.49","194.57","194.57","193.40","16.29K","0.27%"
"05/18/2023","193.97","195.34","195.49","193.48","5.32K","-0.08%"
"05/17/2023","194.12","195.07","195.30","193.66","53.23K","-0.45%"
"05/16/2023","195.00","196.29","196.73","194.61","48.18K","-0.45%"
