"Date","Price","Open","High","Low","Vol.","Change %"
"12/28/2023","240.16","240.00","240.50","238.88","2.50M","0.52%"
"12/27/2023","238.91","239.70","239.70","236.18","4.39M","0.84%"
"12/26/2023","236.93","236.99","237.30","234.88","1.77M","0.61%"
"12/22/2023","235.50","235.99","236.35","232.01","2.92M","0.38%"
"12/21/2023","234.60","226.25","238.00","226.25","4.15M","0.58%"
"12/20/2023","233.25","237.99","238.88","233.00","4.69M","-1.46%"
"12/19/2023","236.70","237.99","237.99","235.33","2.90M","0.05%"
"12/18/2023","236.57","236.98","237.00","233.65","2.07M","-0.02%"
"12/15/2023","236.62","236.25","237.00","234.01","3.42M","1.12%"
"12/14/2023","233.99","232.00","234.50","231.51","2.94M","1.23%"
"12/13/2023","231.15","231.99","231.99","229.63","2.76M","0.08%"
"12/12/2023","230.96","232.99","232.99","230.50","2.24M","-0.36%"
"12/11/2023","231.79","229.01","232.10","229.01","2.20M","0.19%"
"12/08/2023","231.36","231.99","231.99","228.00","1.92M","0.23%"
"12/07/2023","230.83","231.99","231.99","228.15","2.88M","-0.05%"
"12/06/2023","230.94","231.99","231.99","229.80","3.12M","0.38%"
"12/05/2023","230.06","228.45","230.28","228.39","2.58M","0.82%"
"12/04/2023","228.18","230.45","230.45","225.50","5.44M","1.98%"
"12/01/2023","223.75","223.99","223.99","221.00","3.76M","0.73%"
"11/30/2023","222.13","228.30","228.30","220.38","4.57M","0.21%"
"11/29/2023","221.66","221.99","221.99","219.31","4.69M","0.96%"
"11/28/2023","219.56","225.05","225.05","211.95","3.37M","0.49%"
"11/24/2023","218.48","225.10","225.10","218.19","2.23M","-0.04%"
"11/23/2023","218.56","219.00","219.20","216.01","2.71M","0.01%"
"11/22/2023","218.53","219.30","219.30","216.00","1.53M","0.06%"
"11/21/2023","218.39","219.25","219.25","214.00","2.12M","0.48%"
"11/20/2023","217.35","218.99","218.99","217.07","1.97M","-0.31%"
"11/17/2023","218.02","224.00","224.00","216.00","1.47M","-0.06%"
"11/16/2023","218.16","217.99","219.25","216.60","2.69M","0.55%"
"11/15/2023","216.97","215.30","217.23","213.70","4.37M","1.13%"
"11/13/2023","214.55","215.90","215.99","214.30","2.35M","-0.28%"
"11/12/2023","215.16","215.69","215.69","215.00","2.51M","0.43%"
"11/10/2023","214.24","214.99","214.99","213.25","3.29M","-0.03%"
"11/09/2023","214.30","215.99","217.00","214.03","2.84M","-0.25%"
"11/08/2023","214.83","215.00","215.20","213.81","2.39M","0.16%"
"11/07/2023","214.49","215.24","215.25","212.78","1.60M","-0.03%"
"11/06/2023","214.56","218.70","218.70","212.10","2.17M","0.88%"
"11/03/2023","212.69","212.26","213.77","212.05","1.99M","0.50%"
"11/02/2023","211.64","213.99","213.99","210.00","3.05M","0.79%"
"11/01/2023","209.99","213.95","213.95","209.58","3.00M","-0.47%"
"10/31/2023","210.98","212.00","214.00","210.70","2.95M","-0.26%"
"10/30/2023","211.52","211.40","211.99","209.41","2.92M","0.45%"
"10/27/2023","210.57","210.49","215.00","208.50","4.09M","0.88%"
"10/26/2023","208.74","213.00","214.49","208.36","11.34M","-1.30%"
"10/25/2023","211.48","215.00","216.60","210.95","6.63M","-0.79%"
"10/23/2023","213.17","221.75","221.75","212.65","4.47M","-0.99%"
"10/20/2023","215.30","219.70","219.70","213.65","2.64M","-0.63%"
"10/19/2023","216.67","220.50","223.70","210.70","2.19M","-0.24%"
"10/18/2023","217.20","219.59","219.59","216.92","1.76M","-0.62%"
"10/17/2023","218.55","224.45","224.45","212.25","1.27M","0.30%"
"10/16/2023","217.90","222.00","222.00","216.07","1.47M","-0.08%"
"10/13/2023","218.07","220.75","220.75","216.63","2.23M","-0.24%"
"10/12/2023","218.60","225.30","225.30","216.64","1.48M","-0.07%"
"10/11/2023","218.76","214.65","220.39","214.65","2.77M","0.75%"
"10/10/2023","217.13","221.95","221.95","215.01","1.61M","0.77%"
"10/09/2023","215.48","223.10","223.10","214.71","2.31M","-0.53%"
"10/06/2023","216.62","214.00","218.70","214.00","3.13M","0.51%"
"10/05/2023","215.53","220.85","220.85","214.41","2.01M","0.53%"
"10/04/2023","214.40","222.05","222.05","213.53","5.19M","-0.54%"
"10/03/2023","215.57","223.25","223.25","210.25","4.37M","-0.54%"
"09/29/2023","216.75","222.25","222.25","209.30","2.27M","0.45%"
"09/28/2023","215.77","218.98","218.98","215.45","3.46M","-0.82%"
"09/27/2023","217.56","218.47","218.47","210.05","2.26M","0.46%"
"09/26/2023","216.57","217.92","217.92","215.18","1.33M","-0.11%"
"09/25/2023","216.80","218.79","218.79","216.08","2.24M","0.00%"
"09/22/2023","216.81","219.63","219.63","216.38","4.11M","-0.38%"
"09/21/2023","217.63","213.00","226.20","213.00","3.05M","-0.90%"
"09/20/2023","219.60","220.99","221.00","219.30","3.32M","-1.05%"
"09/18/2023","221.92","222.25","222.57","216.00","2.32M","-0.29%"
"09/15/2023","222.57","222.73","222.81","221.11","2.37M","0.47%"
"09/14/2023","221.53","222.73","222.73","221.00","3.99M","0.05%"
"09/13/2023","221.43","221.59","221.80","219.45","2.78M","0.56%"
"09/12/2023","220.19","221.98","221.98","219.40","2.43M","-0.09%"
"09/11/2023","220.38","219.55","220.50","217.18","2.87M","0.90%"
"09/08/2023","218.41","218.47","218.78","215.42","1.89M","0.52%"
"09/07/2023","217.29","217.17","217.50","209.75","1.67M","0.49%"
"09/06/2023","216.22","217.17","217.17","215.08","2.52M","0.18%"
"09/05/2023","215.84","216.98","216.98","215.13","2.33M","0.12%"
"09/04/2023","215.59","217.47","217.47","207.85","1.93M","0.62%"
"09/01/2023","214.27","216.87","216.87","212.00","1.93M","0.70%"
"08/31/2023","212.77","207.15","217.47","207.15","2.82M","-0.36%"
"08/30/2023","213.54","217.47","217.47","207.65","1.58M","0.18%"
"08/29/2023","213.16","217.47","217.47","212.80","1.31M","0.14%"
"08/28/2023","212.87","217.47","217.47","211.00","1.55M","0.05%"
"08/25/2023","212.76","207.35","214.48","207.35","2.65M","-0.47%"
"08/24/2023","213.77","218.47","218.47","213.33","2.53M","-0.28%"
"08/23/2023","214.37","216.40","216.40","212.78","1.55M","0.44%"
"08/22/2023","213.43","218.11","218.11","213.10","1.98M","-0.03%"
"08/21/2023","213.50","213.69","213.98","212.00","2.98M","0.23%"
"08/18/2023","213.00","218.19","218.19","212.31","2.49M","-0.33%"
"08/17/2023","213.70","218.17","218.17","208.15","1.58M","-0.41%"
"08/16/2023","214.57","218.47","218.47","212.68","1.60M","0.03%"
"08/14/2023","214.51","217.82","217.82","211.65","2.88M","0.05%"
"08/11/2023","214.40","217.21","217.21","214.25","2.39M","-0.43%"
"08/10/2023","215.33","217.27","217.27","215.01","2.10M","-0.54%"
"08/09/2023","216.49","216.85","216.85","212.80","2.03M","0.32%"
"08/08/2023","215.79","216.47","216.70","209.45","2.00M","-0.07%"
"08/07/2023","215.95","216.21","216.21","215.05","2.24M","0.42%"
"08/04/2023","215.04","215.85","215.85","212.77","1.54M","0.69%"
"08/03/2023","213.56","216.52","216.52","212.15","4.74M","-0.72%"
"08/02/2023","215.10","217.22","217.45","214.00","5.59M","-0.98%"
"08/01/2023","217.23","218.00","218.40","217.02","1.91M","-0.16%"
"07/31/2023","217.58","218.78","218.78","216.00","1.79M","0.57%"
"07/28/2023","216.34","218.78","218.78","215.50","2.46M","-0.13%"
"07/27/2023","216.63","219.70","219.70","211.20","2.94M","-0.50%"
"07/26/2023","217.72","219.70","219.70","213.65","3.16M","0.50%"
"07/25/2023","216.64","219.95","219.95","216.06","1.46M","-0.04%"
"07/24/2023","216.73","219.38","219.38","216.54","2.01M","-0.34%"
"07/21/2023","217.48","219.44","219.44","216.99","3.61M","-0.92%"
"07/20/2023","219.51","219.90","219.90","217.16","3.17M","0.71%"
"07/19/2023","217.97","219.95","219.95","216.76","3.76M","0.44%"
"07/18/2023","217.02","216.91","217.80","216.10","2.34M","0.23%"
"07/17/2023","216.53","216.14","216.90","214.82","2.22M","0.79%"
"07/14/2023","214.83","215.46","215.46","213.56","1.68M","0.53%"
"07/13/2023","213.69","215.00","215.00","213.25","2.34M","0.21%"
"07/12/2023","213.25","214.95","214.95","213.00","1.70M","-0.09%"
"07/11/2023","213.45","219.00","219.00","212.66","1.99M","0.38%"
"07/10/2023","212.64","218.40","218.40","210.15","2.82M","-0.04%"
"07/07/2023","212.72","220.40","220.40","212.50","3.33M","-0.58%"
"07/06/2023","213.96","218.00","219.30","212.05","1.92M","0.49%"
"07/05/2023","212.92","218.00","218.00","212.30","1.74M","-0.07%"
"07/04/2023","213.06","218.65","218.65","212.00","2.52M","0.36%"
"07/03/2023","212.30","213.45","213.45","210.90","4.25M","0.80%"
"06/30/2023","210.61","209.60","210.91","208.09","4.67M","1.17%"
"06/28/2023","208.18","207.40","208.56","206.28","3.99M","0.83%"
"06/27/2023","206.46","207.36","207.36","205.36","2.02M","0.63%"
"06/26/2023","205.17","206.25","206.25","204.52","2.22M","0.09%"
"06/23/2023","204.98","212.45","212.45","204.80","2.13M","-0.61%"
"06/22/2023","206.24","206.87","207.47","206.08","2.01M","-0.30%"
"06/21/2023","206.87","206.04","207.46","206.04","2.41M","0.18%"
