company_name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Gujarat Ambuja Cements (Now Ambuja Cements),AMBUJACEM.NS,ZEEL.NS,WIPRO.NS,SUNPHARMA.NS,SUNPHARMA.NS,SIEMENS.NS,SIEMENS.NS,TATAPOWER.NS,TATAMOTORS.NS,SBIN.NS,SBIN.NS,SUNPHARMA.NS,SUNPHARMA.NS,PNB.NS,PNB.NS,POWERGRID.NS,TATAMOTORS.NS,TCS.NS,SUNPHARMA.NS,TATAMOTORS.NS,DIVISLAB.NS,SBIN.NS,SUNPHARMA.NS,SBIN.NS,SUNPHARMA.NS
Zee Entertainment (Zee Telefilms),ZEEL.NS,SIEMENS.NS,ZEEL.NS,TATAMOTORS.NS,TATAMOTORS.NS,SUNPHARMA.NS,SUNPHARMA.NS,TATASTEEL.NS,TATAPOWER.NS,SIEMENS.NS,VEDL.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,PNB.NS,TATASTEEL.NS,TECHM.NS,TCS.NS,TATASTEEL.NS,BPCL.NS,SHREECEM.NS,TCS.NS,SUNPHARMA.NS,TCS.NS
BHEL,BHEL.NS,ABB.NS,ABB.NS,TATAPOWER.NS,TATAPOWER.NS,TATAMOTORS.NS,TATAMOTORS.NS,TCS.NS,TATASTEEL.NS,STLTECH.NS,SIEMENS.NS,RELINFRA.NS,,SBIN.NS,SBIN.NS,RELIANCE.NS,TCS.NS,TITAN.NS,TATAMOTORS.NS,TCS.NS,EICHERMOT.NS,SUNPHARMA.NS,TATACONSUM.NS,TCS.NS,TATACONSUM.NS
SAIL,SAIL.NS,GRASIM.NS,AMBUJACEM.NS,TATASTEEL.NS,TATASTEEL.NS,TATAPOWER.NS,TATAPOWER.NS,WIPRO.NS,TCS.NS,SUNPHARMA.NS,STRTECH.NS,RPOWER.NS,SBIN.NS,,,SBIN.NS,TECHM.NS,ULTRACEMCO.NS,TATASTEEL.NS,TECHM.NS,ONGC.NS,TATACONSUM.NS,TATAMOTORS.NS,TATACONSUM.NS,TATAMOTORS.NS
Siemens India,SIEMENS.NS,COLPAL.NS,ASIANPAINT.NS,TATAMOTORS.NS,TCS.NS,TATASTEEL.NS,TATASTEEL.NS,ZEEL.NS,UNITECH.NS,SUZLON.NS,SUNPHARMA.NS,SBIN.NS,SESHAPAPER.NS,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS,ULTRACEMCO.NS,UPL.NS,TECHM.NS,TITAN.NS,COALINDIA.NS,TATAMOTORS.NS,TATASTEEL.NS,TATAMOTORS.NS,TATASTEEL.NS
ABB India,ABB.NS,,ZYDUSLIFE.NS,TATACOMM.NS,TATACOMM.NS,TCS.NS,TCS.NS,ABB.NS,WIPRO.NS,TATAMOTORS.NS,SUZLON.NS,SESHAPAPER.NS,SIEMENS.NS,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS,VEDL.NS,VEDL.NS,ULTRACEMCO.NS,ULTRACEMCO.NS,IOC.NS,TATASTEEL.NS,TECHM.NS,TATASTEEL.NS,TECHM.NS
,,,DABUR.NS,WIPRO.NS,WIPRO.NS,TATACOMM.NS,TATACOMM.NS,BAJAJ-AUTO.NS,ZEEL.NS,TATAPOWER.NS,TATAMOTORS.NS,SIEMENS.NS,SUNPHARMA.NS,TATAPOWER.NS,TATAPOWER.NS,TATAPOWER.NS,WIPRO.NS,WIPRO.NS,UPL.NS,UPL.NS,GAIL.NS,TCS.NS,TITAN.NS,TECHM.NS,TITAN.NS
,,,GLAXO.NS,ZEEL.NS,ZEEL.NS,WIPRO.NS,WIPRO.NS,BANKBARODA.NS,HDFCBANK.NS,TATASTEEL.NS,TATAPOWER.NS,STLTECH.NS,TATAMOTORS.NS,TATASTEEL.NS,TATASTEEL.NS,TATASTEEL.NS,YESBANK.NS,YESBANK.NS,VEDL.NS,VEDL.NS,SBILIFE.NS,TECHM.NS,ULTRACEMCO.NS,TITAN.NS,UPL.NS
,,,HINDVEN.NS,ZENSARTECH.NS,ZEELEARN.NS,ZEEL.NS,ZEEL.NS,COALINDIA.NS,BAJAJ-AUTO.NS,TCS.NS,TATASTEEL.NS,SUNPHARMA.NS,TATAPOWER.NS,TCS.NS,TCS.NS,TCS.NS,ZEEL.NS,ZEEL.NS,WIPRO.NS,WIPRO.NS,TATAMOTORS.NS,TITAN.NS,UPL.NS,ULTRACEMCO.NS,ULTRACEMCO.NS
,,,IDBI.NS,VEDL.NS,ABB.NS,ZEELEARN.NS,ZEELEARN.NS,POWERGRID.NS,HINDPETRO.NS,WIPRO.NS,TCS.NS,TATAMOTORS.NS,TATASTEEL.NS,ULTRACEMCO.NS,TECHM.NS,TECHM.NS,ACC.NS,IBULHSGFIN.NS,YESBANK.NS,YESBANK.NS,HINDPETRO.NS,ULTRACEMCO.NS,WIPRO.NS,UPL.NS,WIPRO.NS
,,,TATACOMM.NS,GLAXO.NS,GLAXO.NS,ABB.NS,HDFCMFGETF.NS,VEDL.NS,ABB.NS,ZEEL.NS,WIPRO.NS,TATASTEEL.NS,TCS.NS,WIPRO.NS,ULTRACEMCO.NS,WIPRO.NS,AMBUJACEM.NS,AUROPHARMA.NS,ZEEL.NS,ZEEL.NS,VEDL.NS,UPL.NS,ZEEL.NS,WIPRO.NS,ZEEL.NS
,,,,,,,,,,,,TCS.NS,WIPRO.NS,,WIPRO.NS,,,,,,,,,,
,,,,,,,,,,,,WIPRO.NS,,,ZEEL.NS,,,,,,,,,,
